11:14:54.658 [main] INFO  HelloWorld - Hello, World!
11:14:54.662 [main] DEBUG HelloWorld - Debug
11:14:54.662 [main] WARN  HelloWorld - Warn
11:35:29.323 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.560 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.568 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
11:39:07.569 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 16:53:35,979 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:53:35,980 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:53:35,980 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
28 Mar 2019 16:53:35,981 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:53:35,990 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApiTest - I am here
28 Mar 2019 16:58:49,875 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:58:49,882 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:58:49,884 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:58:49,884 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
28 Mar 2019 16:58:49,885 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:58:49,886 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -   lol 1
28 Mar 2019 16:58:49,896 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -   lol 2
28 Mar 2019 16:58:49,897 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApiTest - 
30 Mar 2019 10:56:24,873 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
30 Mar 2019 10:56:24,903 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
30 Mar 2019 10:56:24,905 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
30 Mar 2019 10:56:24,905 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
30 Mar 2019 10:56:24,906 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
30 Mar 2019 10:56:24,906 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -   lol 1
30 Mar 2019 10:56:25,262 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -   lol 2
30 Mar 2019 10:56:25,263 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApiTest - 
30 Mar 2019 11:15:19,054 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
30 Mar 2019 11:15:19,062 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
30 Mar 2019 11:15:19,064 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
30 Mar 2019 11:15:19,064 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
30 Mar 2019 11:15:19,065 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
30 Mar 2019 11:15:19,066 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -   lol 1
30 Mar 2019 11:15:19,080 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi -   lol 2
30 Mar 2019 11:15:19,080 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApiTest - 
30 Mar 2019 12:27:26,138 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
30 Mar 2019 12:27:26,146 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
30 Mar 2019 12:27:26,147 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
